mes,Provincia,horas,cod,mes_n
Julio,Salamanca,14.78,37,7
Julio,Santa Cruz de Tenerife,13.75,38,7
Julio,Cantabria,15.05,39,7
Julio,Segovia,14.78,40,7
Julio,Sevilla,14.45,41,7
Julio,Soria,14.86,42,7
Julio,Tarragona,14.8,43,7
Julio,Teruel,14.72,44,7
Julio,Toledo,14.68,45,7
Julio,Valencia,14.64,46,7
Julio,Valladolid,14.85,47,7
Julio,Vizcaya,15.02,48,7
Julio,Zamora,14.84,49,7
Julio,Zaragoza,14.85,50,7
Julio,Ceuta,14.32,51,7
Julio,Melilla,14.27,52,7
Agosto,Álava,13.89,01,8
Agosto,Albacete,13.66,02,8
Agosto,Alicante,13.62,03,8
Agosto,Almería,13.54,04,8
Agosto,Ávila,13.75,05,8
Agosto,Badajoz,13.65,06,8
Agosto,Baleares,13.69,07,8
Agosto,Barcelona,13.8,08,8
Agosto,Burgos,13.86,09,8
Agosto,Cáceres,13.69,10,8
Agosto,Cádiz,13.52,11,8
Agosto,Castellón,13.72,12,8
Agosto,Ciudad Real,13.66,13,8
Agosto,Córdoba,13.59,14,8
Agosto,A Coruña,13.93,15,8
Agosto,Cuenca,13.72,16,8
Agosto,Girona,13.84,17,8
Agosto,Granada,13.56,18,8
Agosto,Guadalajara,13.75,19,8
Agosto,Guipúzcoa,13.92,20,8
Agosto,Huelva,13.56,21,8
Agosto,Huesca,13.85,22,8
Agosto,Jaén,13.59,23,8
Agosto,León,13.88,24,8
Agosto,Lleida,13.81,25,8
Agosto,La Rioja,13.87,26,8
Agosto,Lugo,13.9,27,8
Agosto,Madrid,13.74,28,8
Agosto,Málaga,13.53,29,8
Agosto,Murcia,13.6,30,8
Agosto,Navarra,13.89,31,8
Agosto,Ourense,13.86,32,8
Agosto,Asturias,13.93,33,8
Agosto,Palencia,13.84,34,8
Agosto,Las Palmas,13.12,35,8
Agosto,Pontevedra,13.86,36,8
Agosto,Salamanca,13.77,37,8
Agosto,Santa Cruz de Tenerife,13.13,38,8
Agosto,Cantabria,13.93,39,8
Agosto,Segovia,13.77,40,8
Agosto,Sevilla,13.57,41,8
Agosto,Soria,13.82,42,8
Agosto,Tarragona,13.79,43,8
Agosto,Teruel,13.74,44,8
Agosto,Toledo,13.71,45,8
Agosto,Valencia,13.69,46,8
Agosto,Valladolid,13.82,47,8
Agosto,Vizcaya,13.92,48,8
Agosto,Zamora,13.81,49,8
Agosto,Zaragoza,13.82,50,8
Agosto,Ceuta,13.49,51,8
Agosto,Melilla,13.46,52,8
Septiembre,Álava,12.5,01,9
Septiembre,Albacete,12.45,02,9
Septiembre,Alicante,12.44,03,9
Septiembre,Almería,12.42,04,9
Septiembre,Ávila,12.47,05,9
Septiembre,Badajoz,12.44,06,9
Septiembre,Baleares,12.45,07,9
Septiembre,Barcelona,12.48,08,9
Septiembre,Burgos,12.49,09,9
Septiembre,Cáceres,12.45,10,9
Septiembre,Cádiz,12.42,11,9
Septiembre,Castellón,12.46,12,9
Septiembre,Ciudad Real,12.44,13,9
Septiembre,Córdoba,12.43,14,9
Septiembre,A Coruña,12.51,15,9
Septiembre,Cuenca,12.46,16,9
Septiembre,Girona,12.49,17,9
Septiembre,Granada,12.42,18,9
Septiembre,Guadalajara,12.46,19,9
Septiembre,Guipúzcoa,12.51,20,9
Septiembre,Huelva,12.42,21,9
Septiembre,Huesca,12.49,22,9
Septiembre,Jaén,12.43,23,9
Septiembre,León,12.49,24,9
Septiembre,Lleida,12.48,25,9
Septiembre,La Rioja,12.49,26,9
Septiembre,Lugo,12.5,27,9
Septiembre,Madrid,12.46,28,9
Septiembre,Málaga,12.42,29,9
Septiembre,Murcia,12.43,30,9
Septiembre,Navarra,12.5,31,9
Septiembre,Ourense,12.49,32,9
Septiembre,Asturias,12.5,33,9
Septiembre,Palencia,12.49,34,9
Septiembre,Las Palmas,12.32,35,9
Septiembre,Pontevedra,12.49,36,9
Septiembre,Salamanca,12.47,37,9
Septiembre,Santa Cruz de Tenerife,12.33,38,9
Septiembre,Cantabria,12.51,39,9
Septiembre,Segovia,12.46,40,9
Septiembre,Sevilla,12.42,41,9
Septiembre,Soria,12.48,42,9
Septiembre,Tarragona,12.47,43,9
Septiembre,Teruel,12.47,44,9
Septiembre,Toledo,12.46,45,9
Septiembre,Valencia,12.45,46,9
Septiembre,Valladolid,12.48,47,9
Septiembre,Vizcaya,12.5,48,9
Septiembre,Zamora,12.48,49,9
Septiembre,Zaragoza,12.48,50,9
Septiembre,Ceuta,12.41,51,9
Septiembre,Melilla,12.4,52,9
Octubre,Álava,11.05,01,10
Octubre,Albacete,11.18,02,10
Octubre,Alicante,11.2,03,10
Octubre,Almería,11.25,04,10
Octubre,Ávila,11.13,05,10
Octubre,Badajoz,11.18,06,10
Octubre,Baleares,11.16,07,10
Octubre,Barcelona,11.1,08,10
Octubre,Burgos,11.07,09,10
Octubre,Cáceres,11.17,10,10
Octubre,Cádiz,11.26,11,10
Octubre,Castellón,11.15,12,10
Octubre,Ciudad Real,11.18,13,10
Octubre,Córdoba,11.22,14,10
Octubre,A Coruña,11.03,15,10
Octubre,Cuenca,11.15,16,10
Octubre,Girona,11.08,17,10
Octubre,Granada,11.24,18,10
Octubre,Guadalajara,11.13,19,10
Octubre,Guipúzcoa,11.03,20,10
Octubre,Huelva,11.23,21,10
Octubre,Huesca,11.07,22,10
Octubre,Jaén,11.22,23,10
Octubre,León,11.06,24,10
