CCAA,sexo,year,tot,Cod_ca
Castilla-Leon,Mujeres,2019,1218147,07
Castilla-Leon,Mujeres,2018,1222801,07
Castilla-Leon,Mujeres,2017,1230550,07
Castilla-Leon,Mujeres,2016,1240744,07
Castilla-La Mancha,Total,2019,2032863,08
Castilla-La Mancha,Total,2018,2026807,08
Castilla-La Mancha,Total,2017,2031479,08
Castilla-La Mancha,Total,2016,2041631,08
Castilla-La Mancha,Hombres,2019,1016954,08
Castilla-La Mancha,Hombres,2018,1014199,08
Castilla-La Mancha,Hombres,2017,1016761,08
Castilla-La Mancha,Hombres,2016,1022722,08
Castilla-La Mancha,Mujeres,2019,1015909,08
Castilla-La Mancha,Mujeres,2018,1012608,08
Castilla-La Mancha,Mujeres,2017,1014718,08
Castilla-La Mancha,Mujeres,2016,1018909,08
Cataluña,Total,2019,7675217,09
Cataluña,Total,2018,7600065,09
Cataluña,Total,2017,7555830,09
Cataluña,Total,2016,7522596,09
Cataluña,Hombres,2019,3770123,09
Cataluña,Hombres,2018,3730326,09
Cataluña,Hombres,2017,3710200,09
Cataluña,Hombres,2016,3697368,09
Cataluña,Mujeres,2019,3905094,09
Cataluña,Mujeres,2018,3869739,09
Cataluña,Mujeres,2017,3845630,09
Cataluña,Mujeres,2016,3825228,09
Valencia,Total,2019,5003769,10
Valencia,Total,2018,4963703,10
Valencia,Total,2017,4941509,10
Valencia,Total,2016,4959968,10
Valencia,Hombres,2019,2465342,10
Valencia,Hombres,2018,2446383,10
Valencia,Hombres,2017,2436203,10
Valencia,Hombres,2016,2448748,10
Valencia,Mujeres,2019,2538427,10
Valencia,Mujeres,2018,2517320,10
Valencia,Mujeres,2017,2505306,10
Valencia,Mujeres,2016,2511220,10
Extremadura,Total,2019,1067710,11
Extremadura,Total,2018,1072863,11
Extremadura,Total,2017,1079920,11
Extremadura,Total,2016,1087778,11
Extremadura,Hombres,2019,528500,11
Extremadura,Hombres,2018,531255,11
Extremadura,Hombres,2017,535060,11
Extremadura,Hombres,2016,539239,11
Extremadura,Mujeres,2019,539210,11
Extremadura,Mujeres,2018,541608,11
Extremadura,Mujeres,2017,544860,11
Extremadura,Mujeres,2016,548539,11
Galicia,Total,2019,2699499,12
Galicia,Total,2018,2701743,12
Galicia,Total,2017,2708339,12
Galicia,Total,2016,2718525,12
Galicia,Hombres,2019,1298964,12
Galicia,Hombres,2018,1300609,12
Galicia,Hombres,2017,1304392,12
Galicia,Hombres,2016,1309809,12
Galicia,Mujeres,2019,1400535,12
Galicia,Mujeres,2018,1401134,12
